Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity)
Tarfu,YT_Tarfu,Yukon,-133.720613,60.0568,764,419,735,11.6,33,0.049,108,9.310344828,PR,3141,7.496420048,5,1,365.9494069,6.13404175,18.65637607,0.063153581,251.8841912,0.055005422,109,80
Tatlmain,YT_Tatlmain,Yukon,-135.96807,62.598,565,3381,912,26.8,48,0.77,180.5,6.735074627,NR,#N/A,#N/A,2,1,539.3783986,11.93876783,40.11942558,0.129173493,97.90344986,0.115937434,46,34
Tchentlo Lake,00920NATR,Omineca,-125.1535459,55.19276857,870,6638.875271,877,28.86,NA,1.915979403,49,1.697851698,FR,#N/A,#N/A,5,1,528.9079928,11.56049474,29.75304569,0.084840193,185.9841558,0.074614144,83,38
Tchesinkut Lake,00601FRAN,Skeena,-125.6000653,54.09128692,743,3539.413211,1014,62,149,2.194436191,78,1.258064516,PR,#N/A,#N/A,4,3,588.1353996,13.76150454,29.82685972,0.079719463,181.6209973,0.069949258,24,7
Teslin,00007TESR,SkeenaYT,-132.549377,60.0602,682,35400,807,59,214,20.8,64,1.084745763,PR,5559,0.157033898,4,1,479.6435864,6.441844243,74.41240232,0.349272243,3.059495586,0.350967586,236,184
Tetsa Lake,00166MMUS,Peace,-124.6195827,58.44328713,1366,55.39996563,535,6.2,NA,0.003434798,210,33.87096774,NR,#N/A,#N/A,2,0,341.0850741,6.16752357,42.44098908,0.293942934,83.25516785,0.28648836,91,51
Tezzeron Lake,01581LTRE,Omineca,-124.3901433,54.68241878,766,8078.831186,1022,11,43.3,0.88867143,88,8,FR,#N/A,#N/A,3,2,640.893868,16.49627434,22.7622621,0.086737007,269.5654742,0.076347643,76,27
Turtle Lake,00156TUTR,Skeena,-134.215037,59.83288589,684,381.1019147,776,10.53,65,0.040130032,210,19.94301994,NR,#N/A,#N/A,1,1,399.5430242,11.99153063,19.51043178,0.122505567,184.9503588,0.109612071,80,39
Tutshi Lake,00051TUTR,Skeena,-134.7115717,59.93345598,714,5266.879124,513,88,197,4.63485363,42,0.477272727,PR,#N/A,#N/A,4,3,443.9858259,13.04289033,27.05838873,0.08579298,93.28912064,0.07548452,37,27
Uncha Lake,01828FRAN,Skeena,-125.6511432,53.91579708,772,1340.038229,1005,17,36.9,0.227806499,98,5.764705882,FR,#N/A,#N/A,3,2,736.7546419,17.39292932,32.97225241,0.10622785,165.9440335,0.094336616,61,3
Upper Tootsee Lake,00354LRAN,Skeena,-130.6539251,59.87142628,1119,307.6207411,414,17,59.8,0.052295526,68,4,FR,#N/A,#N/A,2,0,319.4353083,7.224469462,34.13623279,0.235987331,77.96772085,0.223130131,40,28
Weissener Lake,00285FOXR,Omineca,-125.7669966,57.73851809,955,783.0059835,756,49,94,0.383672932,170,3.469387755,NR,#N/A,#N/A,2,2,558.2441779,11.20710499,33.08458604,0.110197647,190.6196695,0.098040524,81,32
Whitefish Lake,01006STUL,Omineca,-124.9802274,54.57480471,797,726.1080461,1021,18,29.9,0.130699448,86,4.777777778,PR,#N/A,#N/A,4,1,597.7435149,13.88107392,32.6251629,0.067457913,146.3991303,0.058866873,108,48
Witch Lake,01386NATR,Omineca,-124.479396,55.13207178,921,1552.957846,822,16.82,NA,0.26120751,88,5.231866825,NR,#N/A,#N/A,4,1,481.2430977,10.7127215,27.90943876,0.074212184,185.4340559,0.064956402,136,84
Yellowhead Lake,00802UFRA,Omineca,-118.5399058,52.86211635,1108,237.1251342,930,10,26,0.023712513,111,11.1,PR,#N/A,#N/A,4,0,442.0770873,7.3524737,39.28806742,0.146482783,157.2024057,0.13254668,54,31
