Lake,WaterbodyID,Region,Longitude,Latitude,Elevation (m ASL),Surface area (ha),Growing degree days >5C,Mean depth (m),Max depth (m),Volume (km3),TDS (mg_L),MEI (TDS/depth),Road Access,Effort,Effort per ha,Exploitaton rank,Prey fish spp.,Length at maturity (mm),Age at maturity (yrs),Juvenile growth rate (mm/yr),Reproductive investment (per yr),Length at age 0 (mm),Natural mortality (yr),Sample size (length at age),Sample size (length at maturity),Adult postmaturation lifespan (yrs)
Horse Lake,00378BRID,Cariboo,-121.1077757,51.58750422,991,1215.459365,1119,15,34.4,0.182318905,201,13.4,PR,#N/A,#N/A,4,1,483.7,10.5,32.3,0.103,147.4,0.092,47,56,15.9
Jennings Lakes,00875SWIR,Skeena,-130.6740905,59.61274816,1166,894.487244,504,6,27,0.053669235,26,4.333333333,NR,#N/A,#N/A,2,0,590.7,17.7,25.5,0.104,140.9,0.093,48,50,7.9
Kahan Lake,00933JENR,Skeena,-131.2331595,59.25990543,1332,184.3633752,439,8,36,0.01474907,18,2.25,NR,#N/A,#N/A,1,0,419.6,13.5,26.0,0.161,68.8,0.146,146,148,21.2
Kluane,YT_Kluane,Yukon,-138.677267,61.2327,781,39275,678,31.1,91,12.65,130,4.180064309,PR,2024,0.051534055,5,3,477.7,7.2,52.5,0.198,105.2,0.185,137,148,41.7
Kusawa,YT_Kusawa,Yukon,-136.371276,60.338,671,14200,791,54,140,7.668,30.5,0.564814815,PR,4325,0.304577465,3,3,345.9,5.7,43.3,0.173,101.2,0.159,427,494,34.3
Laberge,YT_Laberge,Yukon,-135.182358,61.1697,628,20100,884,54,146,10.8,68,1.259259259,PR,6706,0.333631841,4,1,430.6,6.0,82.2,0.389,-61.8,0.402,121,143,36.4
Lapie Lake,01070LIAR,Peace,-126.2948367,59.30979395,838,20.36440192,854,4.33,12.5,0.000881779,171,39.49191686,NR,#N/A,#N/A,1,0,339.7,7.7,37.4,0.323,53.1,0.321,72,72,10.1
Little Atlin,YT_Little Atlin,Yukon,-133.961822,60.2593,687,4033,767,10.6,47,0.427,161,15.18867925,PR,3281,0.813538309,4,4,450.2,6.6,51.7,0.245,117.2,0.237,25,49,44.6
Little Salmon,YT_Little Salmon,Yukon,-134.6841,62.1862,609,6210,748,92.6,155,5.75,96,1.036717063,PR,#N/A,#N/A,3,0,420.1,9.5,32.9,0.127,108.2,0.114,66,66,36.6
Long Mountain Lake,01088LIAR,Peace,-126.6488049,59.30131868,916,117.905823,753,9,28,0.010611524,112,12.44444444,NR,#N/A,#N/A,2,0,325.0,9.3,25.4,0.088,91.6,0.078,69,78,32.4
Lower Nome Lake,01218SWIR,Skeena,-130.8958972,59.74547636,1170,66.89403552,484,4,16,0.002675761,24,6,NR,#N/A,#N/A,1,1,505.0,13.5,30.1,0.147,103.0,0.134,39,42,4.9
Marsh,YT_Marsh,Yukon,-134.295157,60.4514,654,9630,892,12.8,51.5,1.22,57,4.453125,PR,1642,0.170508827,5,1,455.9,5.4,66.9,0.337,92.9,0.341,68,80,36.1
Mayo,YT_Mayo,Yukon,-135.042286,63.7638,671,9000,780,56.5,106,5.085,94,1.663716814,PR,#N/A,#N/A,5,2,384.0,6.1,61.5,0.324,16.5,0.326,38,38,48.2
